Початок тривоги,Гео,Тривалість тривоги
2023-09-06 21:28:36+00:00,"['измаил', 'кил', 'измаил', 'кил', 'рен', 'рен', 'рен', 'орловк', 'рен', 'измаил', 'кил', 'измаил', 'рен', 'заток', 'измаил', 'белгород', 'измаил', 'рен', 'кил', 'измаил', 'вилков', 'кил']",172
2023-09-07 20:44:38+00:00,"['кил', 'кил', 'измаил', 'рен', 'одесс', 'черноморск', 'черноморск', 'санжейк', 'черноморск', 'одесс', 'маяк', 'одесс', 'заток', 'черноморск', 'черноморск', 'черноморск', 'черноморск', 'заток', 'сергеевк']",238
2023-09-12 21:27:54+00:00,"['одесс', 'кил', 'кил', 'измаил', 'рен', 'измаил', 'измаил', 'кил', 'рен', 'рен', 'рен', 'одесс', 'рен', 'рен', 'рен', 'рен', 'рен', 'заток', 'заток', 'сергеевк', 'білгород', 'курортн', 'кил', 'измаил', 'вилков', 'арциз', 'рен', 'кил', 'измаил', 'измаил', 'измаил']",274
2023-09-17 01:57:01+00:00,"['кил', 'одесс', 'одесс', 'николаев', 'березовк', 'одесс', 'винниц']",106
2023-09-17 20:06:07+00:00,"['вилков', 'рен', 'кил', 'измаил', 'кил', 'рен', 'измаил', 'рен']",75
2023-09-17 21:32:21+00:00,['черноморск'],14
2023-09-17 22:55:21+00:00,"['николаев', 'одесс', 'одесс']",34
2023-09-18 22:37:38+00:00,['черноморск'],146
2023-09-24 20:54:02+00:00,"['одес', 'черноморск', 'поскот', 'одесс', 'одесс', 'одесс', 'чорноморськ', 'аркад', 'одес', 'чорноморськ', 'заток', 'одесс', 'одес', 'одес', 'одесс']",82
2023-09-25 22:32:18+00:00,"['одес', 'коблев', 'поскот', 'рен', 'измаил', 'кил', 'кил', 'измаил', 'рен', 'николаев', 'одесс', 'измаил', 'рен', 'орловк', 'измаил', 'орловк']",118
2023-09-27 20:04:50+00:00,"['одесс', 'одесс', 'коблев', 'очаков', 'одесс', 'одесс', 'кил', 'одесс']",266
2023-09-29 15:41:28+00:00,"['одес', 'зміїн', 'зміїн']",64
2023-09-29 18:46:44+00:00,"['заток', 'лебедівк', 'коблев', 'очаків', 'лебедівк', 'білгород', 'лебедівк', 'южн', 'коблев', 'курортн', 'лебедівк', 'коблев', 'южн', 'маяк', 'біляївк', 'ізмаїл', 'кіл', 'маяк', 'рибаківк', 'южн', 'біляївк', 'біляр', 'рибаківк', 'біляївк', 'рен', 'кіл', 'заток', 'сергіївк', 'рен', 'коблев', 'винниц', 'кинбурнск', 'очаков', 'балт', 'раздельн', 'ананьев', 'любашевк', 'винниц']",244
2023-09-30 19:35:47+00:00,"['заток', 'курортн', 'заток', 'очаків', 'рибаківк', 'сергіївк', 'кінбурнськ', 'лебедівк', 'фонтанк', 'заток', 'коблев', 'одес', 'одес', 'роздільн', 'роздільн', 'заток', 'фонтанк', 'біляївк', 'біляр', 'чорноморськ', 'біляр', 'одес', 'чорноморськ', 'одес', 'одес', 'біляївк', 'рен']",196
2023-10-04 18:01:56+00:00,['зміїн'],9
2023-10-04 19:55:22+00:00,"['поскот', 'латівк', 'одес', 'южн', 'миколаїв', 'южн', 'южн', 'коблев', 'южн', 'коблев', 'одес', 'чорноморськ', 'чорноморськ', 'одес', 'фонтанк', 'фонтанк', 'поскот', 'одес']",226
2023-10-05 21:26:12+00:00,"['чорноморськ', 'заток', 'одес', 'одес', 'одес', 'одес', 'березівк', 'заток', 'заток', 'рен', 'заток', 'рен', 'рен', 'білгород', 'рен']",212
2023-10-07 13:13:59+00:00,"['очаків', 'миколаїв']",36
2023-10-09 19:22:21+00:00,"['коблев', 'южн', 'коблев', 'одес', 'фонтанк', 'поскот', 'заток', 'білгород', 'ланжерон', 'слободк', 'біляївк', 'білгород', 'заток', 'біляївк', 'дачн', 'аркад', 'чорноморськ', 'одес', 'слободк']",160
2023-10-11 19:52:38+00:00,"['ізмаїл', 'вилков', 'одес', 'болград', 'ізмаїл', 'ізмаїл', 'болград', 'орлівк', 'приморськ', 'рен', 'ізмаїл', 'ізмаїл', 'кіл']",170
